lat,lon
34.0440579,-118.201793
34.044303,-118.2018862
34.044243,-118.2022144
34.0445022,-118.2023461
34.0443809,-118.2025132
34.0446777,-118.2027335
34.0446024,-118.2030093
34.0448532,-118.2031402
34.0448187,-118.2035038
34.045081,-118.2036676
34.0450521,-118.2040026
34.0451951,-118.2039254
34.0452648,-118.2041068
34.0451459,-118.2042195
34.0452368,-118.2044744
34.0455301,-118.204681
34.0454974,-118.2050571
34.0457464,-118.2051764
34.045779,-118.2053084
34.0456758,-118.2054578
34.0459722,-118.2056963
34.0459244,-118.2060148
34.0461578,-118.2061154
34.0461336,-118.2064954
34.0463591,-118.2065792
34.0462163,-118.2066684
34.0463413,-118.2069665
34.0465832,-118.2070859
34.0465691,-118.2074811
34.0467995,-118.2076106
34.0468945,-118.207626
34.0469434,-118.2079009
34.0468045,-118.2079975
34.0467317,-118.2079626
34.046644,-118.2077848
34.0466575,-118.2077188
34.0469223,-118.2082641
34.0471094,-118.2082591
34.0470727,-118.2086219
34.0472062,-118.2089181
34.0473704,-118.2088836
34.0473053,-118.2091428
34.0475399,-118.2092375
34.0474043,-118.209356
34.0476968,-118.209579
34.0475114,-118.2095999
34.0477857,-118.2097779
34.0476473,-118.209904
34.0477949,-118.2101995
34.0479652,-118.2101743
34.0480044,-118.2102928
34.0478864,-118.2104078
34.0480123,-118.2107083
34.0481793,-118.2106669
34.0481049,-118.2104832
34.0481643,-118.2110763
34.0483521,-118.211073
34.048348,-118.2114323
34.0484863,-118.2113425
34.048544,-118.2113707
34.0485832,-118.2115521
34.0484257,-118.2116365
34.0483756,-118.2116314
34.0485226,-118.2118518
34.0487294,-118.2118942
34.0486788,-118.2122117
34.0488907,-118.2122526
34.0487884,-118.2124523
34.0489684,-118.2124415
34.048888,-118.2126743
34.049128,-118.2127714
34.0489806,-118.212863
34.0491447,-118.2132564
34.04931,-118.2131663
34.0493917,-118.2133511
34.0492937,-118.2135749
34.0495592,-118.2137128
34.0494056,-118.2138339
34.0495422,-118.2141553
34.0496884,-118.2140136
34.0498358,-118.2143348
34.0496712,-118.2144357
34.0497596,-118.2146642
34.0499573,-118.2145861
34.0499508,-118.2150828
34.0501154,-118.2149133
34.0501727,-118.2149425
34.0502841,-118.215149
34.0502613,-118.2152462
34.0500252,-118.2153461
34.0500874,-118.2153718
34.0488283,-118.2129138
34.0484624,-118.2131445
34.0480572,-118.2134122
34.0480205,-118.2132258
34.0477215,-118.2136234
34.0473704,-118.21385
34.0473583,-118.2142297
34.0472624,-118.2137059
34.0469452,-118.2141236
34.0465352,-118.2143858
34.0461075,-118.2146586
34.0456907,-118.2149316
34.0455832,-118.2150857
34.0456327,-118.2152081
34.0455175,-118.2152736
34.0457213,-118.2153789
34.0455666,-118.2154444
34.0457705,-118.2154965
34.0456309,-118.215616
34.0452371,-118.2150619
34.0448517,-118.2153125
34.044573,-118.2154179
34.0444559,-118.2155604
34.0441292,-118.215775
34.0437676,-118.2160087
34.0435992,-118.2160485
34.0433684,-118.2162689
34.0430228,-118.2164871
34.0429503,-118.2167694
34.0429668,-118.2167035
34.0428241,-118.2165132
34.0426978,-118.2166521
34.0427667,-118.2168276
34.0431475,-118.2166294
34.045344,-118.2149672
34.0454784,-118.2148482
34.0454402,-118.2147519
34.0453817,-118.2146158
34.0452862,-118.2148383
34.0452805,-118.2143907
34.0451694,-118.2145732
34.0450957,-118.2144111
34.0451966,-118.2142045
34.0451473,-118.2140936
34.0451008,-118.2139862
34.0450009,-118.2142083
34.0449235,-118.2140285
34.0450372,-118.2138405
34.0448867,-118.2139363
34.0448055,-118.2139288
34.0447962,-118.213721
34.0449528,-118.213598
34.0450741,-118.213752
34.0448552,-118.2133853
34.044773,-118.2132224
34.0447302,-118.213101
34.0446702,-118.2129844
34.0446085,-118.2128409
34.0445129,-118.2126209
34.044539,-118.2125337
34.0445009,-118.2122465
34.0445022,-118.2121418
34.0445052,-118.2120211
34.0445216,-118.2118041
34.0445255,-118.2116727
34.0445226,-118.2113897
34.0444758,-118.2112841
34.0444185,-118.2111474
34.0443554,-118.2109949
34.0442614,-118.2108085
34.044226,-118.2107201
34.0441275,-118.2105059
34.0439624,-118.2101273
34.0438567,-118.2098788
34.0438682,-118.2097984
34.043621,-118.2099783
34.0436876,-118.2099865
34.043733,-118.210081
34.0437085,-118.2101084
34.0436651,-118.2101425
34.0437637,-118.2102222
34.0437835,-118.210331
34.0437746,-118.2104311
34.0437161,-118.2103305
34.0437085,-118.2105358
34.0436049,-118.2106074
34.0435835,-118.2105053
34.043599,-118.2104062
34.0434689,-118.2103467
34.043386,-118.210208
34.0435426,-118.2100672
34.0438061,-118.2095985
34.0440385,-118.2096831
34.0444664,-118.2091852
34.0447278,-118.2092459
34.0440856,-118.2094292
34.0443594,-118.209477
34.0447981,-118.208976
34.0449997,-118.2090715
34.0450597,-118.2088044
